楷档,辑匡,没林,措备,堡林,何魂,力林,牢力
1973,928.1,871.5,864.4,"1,171.30","1,143.10","1,217.50",717.7
1974,"1,250.70","1,106.60","1,214.60","1,730.10","1,698.00","1,506.80",982
1975,"1,067.40","1,206.40","1,043.60","1,436.00","1,536.10","1,279.50","1,161.80"
1976,"1,109.50","1,048.90",733.5,"1,089.00","1,051.90","1,452.50","1,008.10"
1977,"1,147.50","1,032.90",769.7,914.8,"1,142.20","1,180.80",822.6
1978,"1,160.90","1,251.90","1,012.70","1,571.10","1,241.90","1,079.80","1,301.00"
1979,"1,279.40","1,376.20","1,017.60","1,337.60","1,708.30","1,838.00","1,183.20"
1980,"1,242.40","1,659.70","1,196.10","1,763.40","1,913.30","1,545.60",884
1981,"1,216.20","1,134.70",995,"1,340.60","1,289.90","1,612.40","1,510.90"
1982,949.3,850.2,834.7,874.3,"1,168.10","1,248.00",999.7
1983,"1,205.10","1,238.10","1,003.10","1,026.70","1,770.20","1,373.60",911.6
1984,"1,249.50","1,103.50","1,188.50","1,271.00","1,492.60",878.5,"1,469.20"
1985,"1,544.60","1,372.10","1,396.60","1,995.60","2,200.50","2,420.60","1,095.00"
1986,"1,247.40","1,157.50",993.8,"1,357.90","1,143.40","1,828.60",942.5
1987,"1,751.40","1,656.20","1,094.10","1,611.00","1,422.90","1,719.40","1,255.30"
1988,760.8,878.9,617,799.9,901.5,"1,084.60",666.9
1989,"1,437.10","1,280.30","1,247.40","2,020.40","1,750.10","1,358.60","1,048.20"
1990,"2,355.50","1,473.70","1,239.70","1,484.20","1,270.90","1,544.50","1,689.90"
1991,"1,158.20","1,143.60","1,296.20","1,480.50","2,167.10","1,810.90",751.7
1992,"1,454.90",990.1,811.7,"1,098.10","1,308.90","1,232.90","1,128.70"
1993,"1,292.70","1,301.80","1,181.70","1,372.10","1,615.30","1,552.80","1,070.70"
1994,"1,055.80","1,012.00",567.5,776.4,959.9,"1,448.90",759.9
1995,"1,598.60","1,339.80",728.8,764.4,"1,005.70","1,472.90","1,402.30"
1996,"1,256.60",928.8,888.5,"1,268.80","1,289.60",881.1,927
1997,"1,210.20","1,456.60","1,122.20","1,479.20","1,598.10",999.5,"1,420.50"
1998,"2,349.10","1,640.20","1,381.80","1,943.00","2,028.80","1,581.10","1,451.10"
1999,"1,733.10","1,326.50","1,377.40","1,429.70","2,396.70","2,526.00","1,537.10"
2000,"1,186.80","1,357.60","1,087.30","1,511.00","1,248.50","1,189.40","1,101.60"
2001,"1,386.00",784.1,878.3,"1,129.90","1,171.30","1,388.60",860.5
2002,"1,388.00","1,281.80","1,291.30","1,458.70","2,085.20","1,704.10","1,243.20"
2003,"2,012.00","1,581.80","1,749.90","1,994.10","2,328.30","1,999.20","1,706.90"
2004,"1,499.10","1,505.90","1,222.40","1,742.30","1,386.50","1,333.80","1,350.20"
2005,"1,358.40","1,427.20",834.3,"1,289.60","1,383.90",872.5,"1,168.30"
2006,"1,681.90","1,081.10","1,131.50","1,520.20","1,528.30","1,527.40","1,739.50"
2007,"1,212.30","1,534.50",973.9,"1,620.60","1,276.50","2,139.80","1,215.60"
2008,"1,356.30",892.3,761.4,"1,007.20","1,168.30","1,308.80","1,135.70"
2009,"1,564.00","1,019.80",832.5,"1,488.20","1,772.90","1,304.80","1,403.70"
2010,"2,043.50","1,422.40","1,204.50","1,573.10","1,441.90","1,584.90","1,354.10"
2011,"2,039.30","1,805.60","1,430.40","1,300.30","1,478.60","1,478.60","1,778.50"
2012,"1,646.30","1,387.60","1,189.90","1,626.80","1,983.30","2,248.30","1,023.60"
2013,"1,403.80","1,240.70",996.4,"1,245.40","1,130.10",859.1,"1,332.10"
2014,808.9,913.7,"1,072.10","1,290.30","1,693.10","1,563.40",705.2
2015,792.1,756.9,908.5,"1,049.60","1,396.70","1,728.30",755.7
2016,991.7,938,"1,227.30","1,482.30","1,760.20","1,416.40","1,185.70"
2017,"1,233.20","1,301.20",663.7,936.6,"1,014.40",773.3,"1,209.30"
2018,"1,284.10","1,381.60","1,297.60","1,427.90","1,778.60","1,769.50","1,214.30"
2019,891.3,856.7,995.7,"1,085.90","1,623.20","1,979.90",779.3
2020,"1,651.10","1,358.60","1,244.90","2,027.00","2,281.60","1,389.50","1,429.10"
2021,"1,186.50","1,001.60",910,"1,303.80","1,807.80","1,627.70",923
2022,"1,775.30","1,236.40",581,769.9,991.9,"1,075.80","1,497.50"
2023,"1,598.80","1,805.60","1,321.80","2,116.10","2,191.40","1,444.90","1,225.60"
