연도,45개 지점
1973,-0.4
1974,-1.4
1975,-0.2
1976,-1.1
1977,-0.5
1978,0
1979,-0.2
1980,-1.6
1981,-1.4
1982,-0.4
1983,-0.5
1984,-1
1985,-0.7
1986,-1.3
1987,-0.6
1988,-0.7
1989,0
1990,0.3
1991,-0.6
1992,-0.4
1993,-1
1994,0.4
1995,-0.8
1996,-0.7
1997,-0.1
1998,0.7
1999,0
2000,-0.3
2001,-0.1
2002,-0.2
2003,-0.3
2004,0.4
2005,-0.5
2006,0.1
2007,0.4
2008,0.1
2009,0.2
2010,-0.1
2011,-0.4
2012,-0.5
2013,0.1
2014,0.3
2015,0.6
2016,0.8
2017,0.3
2018,0.2
2019,0.7
2020,0.4
2021,0.8
2022,0.4
2023,1.1
